tweet,hate,userID,likes,comments,views,shares,tags
""" fuck no that bitch dont even suck dick "" &#128514;&#128514;&#128514; the Kermit videos bout to fuck IG up",0,C7DCD3A1,567,399,317,15,60
""" got ya bitch tip toeing on my hardwood floors "" &#128514; http://t.co/cOU2WQ5L4q",0,BB5C907A,292,860,425,469,11
""" her pussy lips like Heaven doors "" &#128524;",0,8528D6F9,560,525,685,226,15
""" hoe what its hitting for """,0,48591BEC,1190,561,787,665,43
""" i met that pussy on Ocean Dr . i gave that pussy a pill "" &#128524;",0,76AF90E4,1171,925,1272,55,2
""" i need a trippy bitch who fuck on Hennessy """,0,A737084E,222,389,1254,599,15
""" i spend my money how i want bitch its my business """,0,3D47D4CA,324,889,1236,576,95
""" i txt my old bitch my new bitch pussy wetter """,0,51299753,355,627,1224,395,39
""" i'd say im back to the old me but my old bitches would get excited "" &#128524;",0,C58A7AED,547,780,941,423,75
""" if you aint bout that Murder Game pussy nigga shut up """,0,76C5768C,660,759,429,8,97
""" if you're toes ain't done you pussy stinks """,0,2D43BDC2,35,916,527,256,10
""" im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that """,0,DD11693F,799,276,419,567,93
""" is that ya bitch """,0,E306504D,903,562,1434,319,28
""" it aint nothing to cut a bitch off """,0,E93D02BA,527,212,832,569,8
""" jus meet son now he ya mane ass bitches "" #Shots",0,556CC76B,180,889,70,602,81
""" lames crying over hoes thats tears of a clown """,0,FADB5914,943,328,833,566,99
""" like Snoop said in 94 we dont love these hoes """,0,2FE62BF1,660,312,381,43,82
""" momma said no pussy cats inside my doghouse """,0,A2496DC9,190,96,271,665,60
""" most hated but the hoes favorite "" #2MW #SevenOne # http://t.co/BMdSVMc3rC",0,07BB3E48,456,595,449,30,38
""" nice girls bad, make me get naughty. Bad yello hoe, real nice body. Down south chick, like em real thick"" http://t.co/bzRDl3kF7U",0,7E0F7072,610,723,189,270,54
""" pimps up pimps up hoes down "" Future voice",0,07E64C03,748,225,771,598,88
""" post a picture of that pussy get 200 likes """,0,0C2A616B,42,413,211,524,57
""" pussy is a powerful drug "" &#128517; #HappyHumpDay http://t.co/R8jsymiB5b",0,CDC043EF,752,165,247,303,84
""" quick piece of pussy call it a drive by """,0,A4739B3A,975,125,258,273,57
""" running round here like some brand new pussy thats bout to get fucked """,0,EDE94175,888,750,635,620,89
""" these bitches even worst they'll send them guys for you """,0,9CB92367,811,329,999,405,75
""" these hoes like niggas that spend money not talk bout it """,1,ABCCCE3A,595,804,1409,504,29
""" we dont trust these niggas all these bitches """,1,3E8F0995,108,103,801,662,56
""" yall niggas b cuffing hoes cause yall aint never have bitches """,0,2C111C7A,839,24,454,696,76
""" you dodge a bullet "" &#128517; &#8220;@DaRealKha: ""All da bitches I cut off pregnant or bound to be ....thank God &#128591;""&#8221;",0,FC618E80,913,45,525,377,32
""" young Pill Chamberlain these bitches love my music """,0,BCAE2EFD,545,880,269,565,91
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@VandalSavage_: Teanna Trump probably cleaner than most of these twitter hoes but.........""",0,2FAE8571,674,441,985,566,51
"""&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;@DaHomieFuzz: Gay niggas couldn't wait to act like bitches tonight""",0,F3F48C89,29,669,283,262,22
"""&#128514;&#128514;&#128514;@The_Paradox: And ima steal his cat n replace it with a pitbull &#128514;&#128514;&#128514;&#128514; RT @80sbaby4life: @The_Paradox He a bitch you should do it""",0,1BF78C7B,526,768,1418,526,25
"""&amp; he's gone always be a hoe""",0,EA06D26B,1028,646,372,528,37
"""...Son of a bitch took my Tic Tacs.""

I like this movie.",0,0AD72775,244,503,793,458,43
"""..All I wanna do is get money and fuck model bitches!"" - Russell Simmons",0,84F892A6,921,533,194,533,58
"""@2015seniorprobs: I probably wouldn&#8217;t mind school as much if we didn&#8217;t have to deal with bitch ass teachers"". Retweet",0,67855278,588,497,1223,660,96
"""@A7XDemery: I'm a fucking fag they said""",0,DBF8FE6A,135,35,1376,398,46
"""@ARIZZLEINDACUT: Females think dating a pussy is cute now? http://t.co/VxBJg26Gsz"" how does doing this stuff make him a pussy?",0,7CB44CE1,99,107,375,63,81
"""@Addicted2Guys: -SimplyAddictedToGuys http://t.co/1jL4hi8ZMF"" woof woof hot scally lad",0,89F6847A,151,258,583,180,70
"""@AdoreBellaaa: Have ya ever asked your bitch for other bitches - kanye voice"" Yes",0,508AE035,1150,440,1281,689,99
"""@AdoreZoey: How u gone bring ur side bitch to a game where You know Ya gf friends at ?! &#128553;&#128553;&#128553;&#128553;"" I SWEAR!!!!!",0,DAE88BE9,928,395,264,79,82
"""@AllAboutManFeet: http://t.co/3gzUpfuMev"" woof woof and hot soles",0,930775A2,560,413,635,405,34
"""@Allyhaaaaa: Lemmie eat a Oreo &amp; do these dishes."" One oreo? Lol",0,E229F4E1,689,738,400,601,24
"""@Almightywayne__: @JetsAndASwisher @Gook____ bitch fuck u http://t.co/pXmGA68NC1"" maybe you'll get better. Just http://t.co/TPreVwfq0S",0,011CAF6E,443,764,197,419,24
"""@Almightywayne__: Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?",1,000C2DBE,995,186,1373,548,55
"""@ArizonasFinest6: Why the eggplant emoji doe?""y he say she looked like scream lmao",0,39A64EF3,558,179,1349,188,72
"""@AutoWorId: Hennessey Venom GT &#128584; http://t.co/i8eGMnKaJ9"" that's one sexy bitch",0,69C6E9F9,178,882,40,528,52
"""@BOSSBYTCHH: Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&lt;lmao!!",0,70DFCE4F,470,841,67,147,12
"""@BRO_HEN314: #Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit""",0,27F932F3,623,420,1207,423,1
"""@BVSEDCHINK: Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life http://t.co/VBCzP6HMT7""
@AmJemieBenn",1,716BA704,1199,726,1461,600,44
"""@BabyAnimalPics: baby monkey bathtime http://t.co/7KPWAdLF0R""
Awwwwe! This is soooo ADORABLE!",0,C357D1EF,563,463,240,28,90
"""@BaylaaGottaBody: &#128514;&#128514;&#128514;&#128514; I ain't shit ."" Damn Skippy lol",0,D15A6DF5,13,291,887,442,53
"""@BeEasyJrizzy: u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt;30%chance",1,011BA942,756,931,719,228,73
"""@BeenBasedB: @_KudaBrazyy http://t.co/LuUBGL9Y5u"" 0 rings 0 mvps 0 bitches lol",0,5E181E20,368,542,806,22,39
"""@BeenFLYnSolo: ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !""",1,334F614B,323,997,958,335,93
"""@BestProAdvice: The facts on tattoos...tattoo http://t.co/ZwnbhpDZ8e"" he's a pussy with not tattooing them nipples",1,19E4EE0F,197,791,184,342,62
"""@Bill215_: &#128175;&#128175;&#128175; RT @nel_ayden Bitches be wanting to act like niggas so bad &#128553;&#128553;&#128553; that shit aint cuteeeee"" but niggas act like bitches..",0,AAEAF12E,525,970,877,225,19
"""@BitchJones92: Get worshiping bitch! http://t.co/R37CejCjou"" woof woof",0,5E4B297E,245,547,398,368,42
"""@BlackChiquitita: Wow. RT @thatmanpalmer I'm lost. Are those buttcheek piercings? http://t.co/yn6guyOUQ6"" yeah she's a hoe",1,4904824,163,204,1401,496,57
"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her",0,1CEE93B6,654,320,1466,173,2
"""@Blackman38Tide: @WhaleLookyHere @HowdyDowdy11 queer"" gaywad",0,C420CD24,1064,99,526,379,9
"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",0,409C8BD1,835,653,1250,582,19
"""@BrosConfessions: This bitch was so ungrateful http://t.co/06e77bGwbx"" fr ..... LULWHORE",0,2B37F0BF,816,212,1231,334,20
"""@CASHandBOOBIES: I been kidnapped yo bitch""",0,14B9A8AE,772,52,83,351,47
"""@CB_Baby24: @white_thunduh alsarabsss"" hes a beaner smh you can tell hes a mexican",0,C9A4A2D0,383,895,1277,527,31
"""@CCobey: @AydanMcCoy happy birthday nigs"" Thanks yo",1,4F35FBE3,510,305,245,104,95
"""@CHlLDHOODRUINER: when ur teacher tells u that u have homework https://t.co/RKk5vawIj1"" this bitch need to go!!!",1,CFBB4CB7,1061,612,1323,120,33
"""@CaelanG15: ""@22EdHam: @CaelanG15 that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.. http://t.co/OSIpBKPr9h",1,B1B6F4CF,885,780,747,549,12
"""@CanIFuckOrNah: What would y'all lil ugly bald headed bitches do if they stop making make-up &amp; weave?""",0,A99E7CC9,825,626,310,582,24
"""@CarelessOne92: Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig",1,F237ABFC,784,713,875,56,20
"""@CauseWereGuys: Going back to school sucks more dick than the hoes who attend it.""",0,796494D7,939,588,138,609,58
"""@CauseWereGuys: On my way to fuck yo bitch http://t.co/j906T5zE2R"" me as a 9 year old",0,55FC177D,419,892,596,690,55
"""@CeleyNichole: @white_thunduh how come you never bring me food"" i dont have a car retard",0,0002B5F7,1180,852,153,59,42
"""@ChadMFVerbeck: If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople",0,17847287,853,270,104,625,28
"""@ChandlerParsons: How bout them Cowboys!!!!"" Shutup pussy",1,E155F3F6,404,323,812,248,16
"""@ClicquotSuave: LMAOOOOOOOOOOO this nigga @Krillz_Nuh_Care http://t.co/AAnpSUjmYI"" &lt;bitch want likes for some depressing shit..foh",0,0230874D,407,114,838,472,87
"""@Coley_Cee: @lil_aerii girl you know I was spitting that G shit to you &amp; you was going lbvs""bitch plz",0,AE1EF3D3,782,980,730,313,85
"""@Coley_Cee: Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again",0,B4E95D5F,72,655,81,4,97
"""@ComedyPosts: Harlem shake is just an excuse to go full retard for 30 seconds.""",0,CC617966,796,591,1156,523,40
"""@ComedyTruth: amen miley &#128591; http://t.co/P2Kb2tfyxr""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",0,FA0A2A1D,845,29,782,267,72
"""@CoryBandz: having one loyal female is wayyyyy better than having hoes , idc &#128175;""",0,D70E8901,468,924,457,424,12
"""@Crhedrys: Pussy licking pussy.... meow meow #StopWhitePeople2014 &#128049; https://t.co/KeegDCjS5K&#8221;""""""""

&#128533;",0,DDC192C8,683,309,1122,605,8
"""@DBAB_Holloway: Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands",0,EAD4E6F5,1152,887,257,235,54
"""@DGotBricks: What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",0,0CECEDFF,270,467,1110,44,48
"""@DaeDaviDavie: @white_thunduh im the bitch okay nudes pat &#128554;&#128527;&#128056;"" wow",0,F5B714B2,951,645,921,463,60
"""@DevilGrimz: @VigxRArts you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway http://t.co/xUCcwoetmn",0,C316BDA2,1062,603,276,548,71
"""@DiamondLoudKush: The fuck be wrong with these bitches?"" Nobody knows",0,197AD6D7,414,20,829,316,15
"""@Dietrich1892: Yall shut up:p"" make me bitch",0,8575B5AB,387,792,615,76,0
"""@DionaIrish: I hate a ""I'm pregnant"" type of bitch.""",1,7D6063E8,998,564,272,159,13
"""@DoYou_Q: Got bitches in the DM but I don't ever read'em"" which is y your top 3",0,D95F6A64,106,916,1021,259,25
"""@DomWorldPeace: Baseball season for the win. #Yankees"" This is where the love started",0,CAAF6851,1058,976,431,186,87
"""@Dommoneek: Little stupid as bitch I don't fuck with yoooooouuuu..""",0,D5309759,988,895,224,694,44
"""@DreadheadAri: she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL",0,0A4C1FD8,854,925,945,687,95
"""@DunderbaIl: I'm an early bird and I'm a night owl, so I'm wise and have worms.""",0,0C842796,717,864,930,535,62
"""@EdgarPixar: Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day.",0,819572F1,346,136,783,542,79
"""@El_Grillo1: Pit Bulls Photographed As Lovely Fairy Tale Creatures http://t.co/Q0Sm89oOLh&#8221;

They *are* fairy tale creatures.",0,E659235B,1060,412,809,168,57
"""@Ferocious_Ghost: @1stName_Bravo Aw."" ...fag, don't tweet ""aw"" to me lol",0,38028977,911,306,76,124,60
"""@FloKid88: As long as the Lakers trash from now on, I could careless. And that's real."". CC: @BENBALLER hahaha",0,BCADF87E,1166,972,1338,450,69
"""@Frosstyy_: @h0rheyd I didn't say anything tho"" kiss me then faggot",0,E579F088,1172,431,469,323,33
"""@FunnyPicsDepot: this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/ZUai7qWBIR"" &#128514; yup",0,0795D764,229,542,506,33,1
"""@G27Status: I could go for a fat ass bitch on my lap"" same",0,E8E3AA86,184,310,390,620,8
"""@GEDMelle: 17 missed calls!!!! &#128544;&#128545;""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle",0,7C7F5991,659,236,977,398,9
"""@GTM_Al: Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao &#128514;&#128514;&#128514;&#128514;",1,87D09277,1023,899,458,592,37
"""@GagaTom1: &#8220;@MaleFoot: 3 | Amo los pies http://t.co/4QE1hDkK8i&#8221;"" fuck yeah",0,E1A340BC,167,767,452,133,72
"""@GirlThatsVonte: These hoes be thinking Meat won't slap they ass &#128564;&#128075;"" ainna bruh",0,C58E065B,345,930,1452,570,42
"""@GirlThatsVonte: Yall bitches wit no edges be doing the most talking &#128553;&#128564;&#9995;""&#128514;&#128514;&#128514;",0,BDD8F4D5,835,267,830,102,84
"""@GirlThatsVonte: Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",0,13E88C1B,1059,722,1292,475,12
"""@Girllssues: I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck",0,89620A01,52,547,70,529,83
"""@Gizzy_Jones94: If she kiss u with her eyes open watch that bitch!""lmfao",1,D9652657,964,991,1083,330,0
"""@Goofstroop: You a woulda coulda shoulda ass hoe &#128563;&#128586;""",0,003A1DEC,1152,741,740,294,0
"""@Gotti_LTF: Happy Bday Bitch Ass Nigga @JetsAndASwisher""preciate that bitch roll up!",0,00FF47EC,194,482,146,500,36
"""@HBMostDope: @1Jayee @PipinHoes used to send that bitch up""",0,4F8BD9DD,962,828,76,225,73
"""@HBMostDope: Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses&#128514;&#128514;""",1,B4884E71,310,234,268,227,100
"""@HaloTGMG: @1stName_Bravo nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao",1,C3C046F7,579,21,1491,571,89
"""@HeartlessFuck: Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in &amp; outta jail &amp; dumb bitches with mad kids fuckin em.""",1,F1E0DED7,60,988,309,14,64
"""@HermosaAlma: This isn't ghetto.....it's smart https://t.co/MPAzQ3Jswf"" I'm doing this idc",0,3D11909B,845,450,1402,136,75
"""@HiImJoriB: I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?",0,D5F7BD7B,280,528,945,247,76
"""@HornyFacts: Being single isn't an excuse to be a hoe."" @TheOneMiss_Luu",0,307169EA,461,366,894,363,50
"""@HoskinsTy96: White boy power bitch"" black power bitch",1,FFF73334,355,377,1148,225,39
"""@Hudgens_11: Lets get drunk, get blowed, spit shit spark blunts &amp; fuck hoes!"" Bro white dudes have no chill.",0,EA87F41A,750,488,345,296,77
"""@IScoutGirls: @verbally_abrupt bitch where u been"" Around the world and back. Where you been?",0,69D5CAA1,629,368,1406,666,45
"""@ItsYahBoiRay: @anelylove if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off &#128514;&#128514;&#128514;&#128514;"" *by @anelylove *",0,0DC00046,256,23,1093,445,28
"""@Itsyesie: #oomf is soooo cute. But he probably has hoes on him a lot.""",0,FE8EE924,560,508,666,47,51
"""@JAYten9: In every cartoon theirs alway a @_nuffsaid15 saving these hoes lmao. http://t.co/9uKD8wtZ6x"" lmao damn captain SaveAHoe",0,38C06D22,903,881,189,697,91
"""@JReebo: Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking http://t.co/FeQxgN0W6I"" hot sox and legs",0,387758D7,35,689,970,687,76
"""@JamesyNBA: I wish I was a bitch like my brother keezy &#128530;"" ooooow I bet you do",0,890AA9D5,503,734,709,241,79
"""@JasminePore: If you dressed up as a cat for Halloween you are basic."" ...or a pussy",1,16D4F4D9,94,610,661,199,87
"""@Jewelxo: Can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" @Pornhub get on it Katie&lt;3",1,8A741D73,395,480,1498,453,42
"""@JoeBudden: stop being scared to choke her during sex u bitch ass niggas. She&#8217;ll like it."". Says the guy who hits women out of bed. FOH",0,87BBA25C,875,791,656,185,9
"""@Johnny55Perez: @white_thunduh ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",0,635FA7D9,615,770,683,490,86
"""@KazAtta: @1TAKEHOV Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed",1,4A512BEB,835,864,132,691,43
"""@KelsieBelsi: You're not a man if you refer to every girl as a bitch""",0,D5B1B173,1011,851,117,590,61
"""@KeyshawnSwag: Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!",0,525F78C1,1020,61,420,535,48
"""@KeyshawnSwag: Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?",0,54135927,193,152,1436,411,80
"""@KingCuh: @16stanleys io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha",0,4316B0B8,1074,831,877,493,4
"""@KingHendo95: @VonDreaam naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!",0,1F7841BE,777,575,820,443,47
"""@KingTeej_: Ol dirty foot ass bitches.."" this was too funny to me.",0,7239479D,4,324,1231,422,86
"""@King_Shawn_6: @white_thunduh that's where I get my yellow flags for being amazing &#128079;&#128524;"" HELL YEAH NIGGY",0,8F9B0DC9,1065,372,1245,210,15
"""@KissMySmilee: Don't got time for bitches to be actin iffy.""",0,A500A4FF,1027,510,1408,440,99
"""@KnightfanNeal #UCFPINKPARTY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT",0,28C25CA4,577,243,187,683,97
"""@KyraNadiya_: These hoes ain't loyal ; no they ain't http://t.co/h1UBsVbkGl""

Smfh &amp; wonder why nobody decent wants them",0,4D2C4FE3,639,963,1090,392,68
"""@LCisTJ: Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!",0,92D47790,490,279,598,59,35
"""@LODYCASH: dry pussy bitches always blame it on the condom&#128514;""&#128079;&#128514;&#128079;&#128514;",0,AF7E5143,833,535,223,689,91
"""@LUNAraps: shut yo bitch ass up! https://t.co/IemN1u0gm5"" &#128557;&#128514;",0,D818E77D,261,759,739,578,1
"""@LaFlareGodJosh: Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back""",0,78F36435,268,581,179,234,40
"""@Latrobemark: You love these hoes more then money wats wrong these niggas""",0,E5803181,787,119,113,245,71
"""@LeBronVuitton: A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol",1,48774B77,101,413,469,484,50
"""@LiLFridayHOE: Easy cum, easy hoe"" That's a fact !",0,E8230A2F,745,140,457,218,81
"""@LifeAsBros: Charlie Sheen is too real http://t.co/gGGdK3kOV7"" major fucking respect for Charlie Sheen.",0,A574DD8E,798,216,1163,64,22
"""@Lightskingawdd: Wish I had a bae &#128533;""

You got all the hoes tho",0,016CFD1F,710,382,300,292,91
"""@Lil_Mike_12: Fuck twerking bitch can you cook ?""",0,59C2C021,992,654,304,524,9
"""@Linniekravitz: @WesGodLaFlare bitch wtf"" http://t.co/DaSmycxODB",0,D61C29A4,440,246,105,133,10
"""@Lipe_the_Great: &#8220;@h0rheyd: ""@Lipe_the_Great: Shut up zoe"" fight me pussy&#8221; for zoe? I'm good, man."" You are good ma'am. Move along now",1,1B245F23,93,339,304,453,64
"""@LolaaIsDope: Lmao fucking snake bitches"" @ em",0,38156FA9,1005,715,737,242,22
"""@Loveable_Aizah: Big booty hoes everywhere sheesh &#128525;"" damn &#127807;&#128064;&#127807;",0,5DAA1D75,687,178,1288,419,46
"""@MLBNetwork: Stay tuned to @MLBNetwork for an update on the report that @Yankees 1B @teixeiramark25 will be out 8-10 weeks"" @dliming35 #bum",0,D99E71C3,963,453,1500,278,76
"""@M_Rad: &#8220;@DezDLT: ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut http://t.co/tYCIhD6PkW&#8221; yes lmfao""@soccerboy_04",0,94D06F0F,957,116,204,626,48
"""@MadFlyentist: Oregon chokes every year get off the field trash ass program"" RFT",0,9351B884,632,8,1341,591,32
"""@MannyDiesel: Def not cowboy lol RT @ArtofFloyd: Terrell Owens was the best Eagle &amp; Cowboy ever"" ..dude cried like a bitch on tv, over Romo",0,3116CF67,854,298,33,598,76
"""@MarkRoundtreeJr: LMFAOOOO I HATE BLACK PEOPLE https://t.co/RNvD2nLCDR"" This is why there's black people and niggers",0,9C308B64,185,678,856,391,23
"""@Master11_: @20ToLife_ @GabrielaStarr How could u do this to me bitch"" potent",0,FF89AA28,1152,223,199,109,24
"""@MaxMayo77: http://t.co/3Jk4kR44X3"" a pissed lad past out. I would lick his dirty soles while he slept.",0,6DFE8298,412,95,1018,607,80
"""@MaxMayo77: http://t.co/PrrskknqRv"" love frat boy w/ soft long soles",0,3D3A828C,225,926,729,110,93
"""@MaxMayo77: http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches.",0,D11BAE8F,36,476,409,307,71
"""@MegamindNick: @white_thunduh nah fam I gotta cheat with the hoes"" depends on the female i feel",0,36A91452,925,86,864,570,85
"""@Mesha_nojas: @_Vontethekidd &#128079;&#128079;&#128079;&#128079;&#128588;"" I got hicks lol",0,12910A91,288,210,1213,651,72
"""@Migsmichelen: This new twitter is confusing the shit out of me."" Go back to south america bitch",1,8D3110ED,246,422,748,239,77
"""@Miikito_x3: Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy",0,66EA2F78,199,946,1238,414,33
"""@MikelaHenry: but what if he actually does choose the ugly bitch over you? &#58381;""Her ass must be fat!",0,EC1A5DE7,1035,608,1150,553,7
"""@MileyCyrus: bitch couldn't kill my vibe if ya tried. &#127752;&#127752;&#127752;"" dis why i love miley :*",0,FE5B6ABD,535,108,649,430,96
"""@Montrell_: I'm tired of bitches saying I look mean.. &#128530;"" nigga you big af, wear tight shirts, and grim everybody.",0,681906DC,817,801,103,79,84
"""@MotherJones: 10 birds your grandkids may never see, thanks to climate change http://t.co/XqmXHkAsWt http://t.co/RbITeGRnhm"" #Climate",0,8A882AC8,3,43,1488,540,64
"""@MvckFadden: ""Stay beautiful you bitch""""",0,89048685,173,393,1180,402,72
"""@NICKIMINAJ: #WutKinda

r purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls",0,5136DD63,364,156,1326,162,47
"""@NastyCopper: Money getting taller and bitches getting blurry""",0,B16D9E0F,730,449,1016,615,64
"""@NewsomeJade: I ain't never seen a bitch so obsessed with they nigga&#128514;"" I'm obsessed with mine &#128529;",1,8B8D83C0,1130,108,178,109,53
"""@Nicholas_ted33: Kobe stay talking trash. But let's not forget http://t.co/VH4tnEkvTP"" @J_Austin12 I meant to do this one. Smh.",0,FC8062FC,301,171,904,636,100
"""@NoChillPaz: ""At least I'm not a nigger"" http://t.co/RGJa7CfoiT""

Lmfao",0,E2A427C8,1164,343,555,259,29
"""@No_FAKINGG: People always asking me what I'm mixed with."" She a bad asian bitch lol",0,832DEC9F,809,865,1473,47,100
"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",0,01B5E254,510,67,1104,589,59
"""@OSAY_it_aint_so: &#8220;@IgnoreAllLaws: Fosters home for imaginary trash&#8221; WHOA CHILL""

that show was everything tf",0,42912797,600,297,893,635,27
"""@OfficialReplay: I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!",1,69E4B188,828,999,291,345,60
"""@PRAYINGFORHEAD: &#8220;@macklemroe: Stop bringing weird niggers into my mentions! @PRAYINGFORHEAD&#8221; http://t.co/cussDJesRK""",0,94F2AFEF,1049,379,837,573,75
"""@PRETTyBOSs_BRAt: We don't love these hoes &#128080;&#128581;""",0,E06D0961,194,316,1034,302,17
"""@PatrickQuelo: If yo girl cant have homeboys you a ol weak bitch ass nigga!""",0,B7C48DB9,759,438,91,423,28
"""@Patsfanjoe32: @d_palomino52 I think worst advice I gave you was "" don't be a pussy and speed up"" lol""",0,324096A5,889,162,1376,162,72
"""@PoemsPorn: Quote this tweet with your favorite animal.""pussy",0,5B59A5AF,644,496,1099,71,30
"""@Poetic_Success: I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!""",0,66A9A187,481,690,921,546,60
